arm,target,train_subset,train_size,seed,training_seconds,rmse,mae,r2,pearson_r,spearman_rho,bias,inference_seq_per_second,inference_ms_per_sequence,device,peak_rss_mb,peak_gpu_mb,epochs_ran
irrm_scratch,log10_pgen,10k,10000,49,14.14,0.6207776331020315,0.42591710844635566,0.890229168663141,0.9608567893677247,0.9620175525332944,0.338611312952432,78777.80804498789,0.012693930242752208,cuda,1598.8828125,255.36376953125,19.0
irrm_scratch,log10_pgen,10k,10000,50,20.27,0.5104941019143432,0.3157260706700292,0.92576712354424,0.966965276583171,0.9666370862800718,0.10494240099662171,78415.86048844548,0.012752522178180384,cuda,1574.81640625,255.36376953125,28.0
irrm_scratch,log10_pgen,10k,10000,51,18.5,0.4912820150441888,0.3233667366122514,0.9312493888304615,0.9660599780498389,0.9695236673192581,-0.05855530574608454,78525.09469403228,0.012734782478091016,cuda,1578.3046875,255.36376953125,25.0
sceptr_mlp,log10_pgen,10k,10000,42,12.43,0.8241140085650038,0.5328266240608573,0.8065407833721275,0.8997464229402171,0.9116146522108373,0.10096275534285942,933740.0276133372,0.0010709619063413453,cuda,1180.078125,21.20751953125,56.0
sceptr_mlp,log10_pgen,10k,10000,43,8.72,0.8398266277213052,0.5446345861976845,0.7990934422983463,0.8950853150574498,0.9065704590796785,0.08551405539283576,928490.7344967334,0.0010770166710839895,cuda,1183.64453125,21.20751953125,39.0
sceptr_mlp,log10_pgen,10k,10000,44,9.32,0.8345979343986126,0.543566797366414,0.8015873110179307,0.8967334069477051,0.9075547226147163,0.09449457219799369,897752.4414176691,0.0011138928215231234,cuda,1182.296875,21.20751953125,42.0
tcr_bert_mlp,log10_pgen,10k,10000,42,14.7,0.5716066534740867,0.37969244209306996,0.906930071018644,0.952757972654319,0.9536264682586161,0.048066586677211275,317680.7349723767,0.003147814424714653,cuda,1273.0234375,28.14501953125,58.0
tcr_bert_mlp,log10_pgen,10k,10000,43,15.03,0.5636854793599815,0.3738462210991635,0.9094916751782824,0.9538177223571953,0.9569626148875244,0.011505552497695236,310494.78990068275,0.0032206659580982593,cuda,1272.17578125,28.14501953125,60.0
tcr_bert_mlp,log10_pgen,10k,10000,44,11.24,0.5689464613822552,0.3818325411493399,0.9077943288924409,0.9531500150003065,0.9539839680301143,0.019939592151627557,319234.63163778995,0.003132492220125479,cuda,1271.4765625,28.14501953125,44.0
tfidf_ridge,log10_pgen,10k,10000,42,0.8,0.76592457502429,0.5084579081617813,0.83289600206607,0.9129297738264299,0.9404228939259158,0.03423942511518709,59776.55467359597,0.016728966824207284,cpu,649.6875,0.0,
esm2_8m_mlp,log10_pgen,all,79730,42,74.59,0.5951112784062191,0.3778985089314805,0.8991185783382184,0.9484219706765102,0.961556478055205,0.008018448818370851,512009.60178724234,0.00195308837277535,cuda,1302.80859375,23.45751953125,60.0
esm2_8m_mlp,log10_pgen,all,79730,43,50.88,0.617624643001898,0.3918682055753462,0.8913414103811155,0.9452014036779254,0.9567233374476869,0.056252967770279834,537971.2513126577,0.0018588353886197177,cuda,1297.15625,23.45751953125,41.0
esm2_8m_mlp,log10_pgen,all,79730,44,72.62,0.5966358832752859,0.37357570394098827,0.8986010236337659,0.9487803111146647,0.9612983902630552,0.06572506115436895,530540.8837711269,0.0018848688773840019,cuda,1300.69140625,23.45751953125,59.0
irrm_pretrained,log10_pgen,all,79730,42,139.98,0.3713165663531919,0.2728079802272566,0.9607261494233188,0.988563084501092,0.9869164526749541,0.23043004494876027,44512.322638950456,0.022465689065727414,cuda,1571.984375,254.86376953125,14.0
irrm_pretrained,log10_pgen,all,79730,43,347.53,0.2732877421635648,0.16781113564368397,0.9787257069575539,0.991832386281639,0.9888689143888211,0.11093694782506916,47394.69275674851,0.02109940885433022,cuda,1590.50390625,254.86376953125,35.0
irrm_pretrained,log10_pgen,all,79730,44,205.57,0.3504203019450061,0.19649729263615834,0.9650221306775171,0.9851718707287127,0.978683330148102,0.1121013101544567,48625.990574486685,0.020565133752250688,cuda,1557.7890625,254.86376953125,22.0
irrm_pretrained,log10_pgen,all,79730,45,442.88,0.22182566736977571,0.15680747819213534,0.9859835373059486,0.9942586166515042,0.9937141588261896,0.09475363882593475,47269.34832899524,0.02115535828926576,cuda,1563.43359375,254.86376953125,46.0
irrm_pretrained,log10_pgen,all,79730,46,152.94,0.25087874409297584,0.17141298237291647,0.9820715573743454,0.9930255075484793,0.9897789108642574,0.11165818089101294,76249.21253309137,0.01311488954152819,cuda,1579.53125,254.86376953125,34.0
irrm_pretrained,log10_pgen,all,79730,47,90.82,0.3081060827680913,0.18067044300141025,0.9729594589703192,0.98795043358461,0.982963120190587,0.08818773965778262,77044.89818934872,0.012979444758851634,cuda,1571.203125,254.86376953125,20.0
irrm_pretrained,log10_pgen,all,79730,48,135.12,0.2986887215728427,0.18298794555902867,0.9745872022580503,0.9892383244365203,0.9876915622839695,0.10148357882720346,77142.23328055044,0.01296306779664008,cuda,1605.953125,254.86376953125,30.0
irrm_pretrained,log10_pgen,all,79730,49,197.31,0.2363387040497491,0.14275755332583007,0.9840894742264049,0.9932642509249219,0.9919847270618742,0.077734183311473,76508.9197560553,0.01307037144411982,cuda,1597.3515625,254.86376953125,44.0
