target,train_subset,arm,seeds,train_size,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,pearson_r_mean,pearson_r_std,spearman_rho_mean,spearman_rho_std,bias_mean,bias_std,training_seconds_mean,inference_seq_per_second_mean,peak_rss_mb_mean,peak_gpu_mb_mean
log10_pgen,10k,esm2_8m_mlp,3,10000,0.8037714586009032,0.008393865622556233,0.5228154960854687,0.00485496479799742,0.8159602784147432,0.003850977620423332,0.9049954430824227,0.0019710768157375443,0.9189027339342127,0.0026954336757552023,0.09818479091695358,0.025299728810900795,12.799999999999999,528172.193105634,1217.1145833333333,23.45751953125
log10_pgen,10k,sceptr_mlp,3,10000,0.8328461902283072,0.00800144086501869,0.5403426692083185,0.00653094512617079,0.8024071788961349,0.003790759788035956,0.8971883816484573,0.002363627118951327,0.9085799446350773,0.002673813985561092,0.09365712764456295,0.007758322471483018,10.156666666666666,919994.4011759133,1182.0065104166667,21.20751953125
log10_pgen,all,irrm_pretrained,10,79730,0.29094909474054964,0.04741822316545527,0.18458412851304246,0.035762733378958134,0.9753107011546698,0.00800254329667357,0.9903982636366593,0.0027969455400128004,0.9876218128470395,0.00429003780174096,0.11541883526450339,0.04597981539220331,204.63899999999998,61641.35071767869,1581.82890625,254.86376953125
log10_pgen,all,irrm_scratch,10,79730,0.33578636528681594,0.07126425216797283,0.22252437734980995,0.0446965625642714,0.9665805886364465,0.014984588581583783,0.9897984543781598,0.0059964201920581885,0.9904199184753828,0.0052830720928398155,0.09984075885395624,0.08298558555562141,145.683,62300.467733850506,1569.30625,254.86376953125
log10_pgen,all,tcr_bert_mlp,3,79730,0.4104244762370142,0.006479777792889647,0.26407476038834926,0.006878891588527168,0.9520096961679507,0.001520406413171397,0.9760846675180218,0.0011130635940318988,0.9793523127399316,0.0014666079786796635,0.029935375799948306,0.028979884407407768,64.49666666666667,317264.54896651936,1668.7174479166667,28.14501953125
log10_pgen,all,sceptr_mlp,3,79730,0.5833243496880652,0.0034583517709830796,0.3535763262418406,0.0021605759059627762,0.9030728998757227,0.0011483300575644375,0.9524100668159482,0.0010005163984225006,0.9648992404555322,0.0002256061400935981,0.08710927532999313,0.005301695083341565,67.07666666666667,892283.828687017,1200.2526041666667,21.20751953125
log10_pgen,all,esm2_8m_mlp,3,79730,0.6031239348944677,0.012581097198351444,0.381114139482605,0.009560811361581226,0.8963536707843666,0.004348451618740226,0.9474678951563668,0.0019709996661059505,0.9598594019219823,0.0027189754719963667,0.04333215924767322,0.030947112086310898,66.03,526840.578957009,1300.21875,23.45751953125
log10_pgen,all,tfidf_ridge,1,79730,0.6210237131878172,,0.4145452767389449,,0.8901421237436864,,0.9434948178107029,,0.9563123982662174,,0.008686388197035454,,9.48,46069.398916552265,719.30078125,0.0
log10_pgen_1mm,1k,irrm_scratch,10,1000,0.6314524434831694,0.07261686713463565,0.3925300930693855,0.05359654264664398,0.8448668784488793,0.037029600737626185,0.9288826831963857,0.01158522271877412,0.9371670165463476,0.013830910702485056,0.1513540048890253,0.1074965335519036,10.756,69316.03220404696,1546.0703125,255.98876953125
log10_pgen_1mm,1k,irrm_pretrained,10,1000,0.6569231613419195,0.018426714329123007,0.4035793214577793,0.012179916879442062,0.8339567738188751,0.009299913259190176,0.9339616887631262,0.0031160599077837098,0.942626640503833,0.002856669189694695,0.236862622340095,0.0381077679541767,7.6530000000000005,70162.56693153805,1552.2625,255.98876953125
log10_pgen_1mm,1k,tcr_bert_mlp,3,1000,0.682962397542112,0.004391160329175946,0.43914357057248604,0.0033486676619782895,0.8206546404338172,0.0023092481985602415,0.9082745125603858,0.0008804972285221423,0.9238140055310605,0.0011648159957729678,0.052673823202974514,0.008880499503683912,4.989999999999999,313975.2640956687,1248.1471354166667,28.14501953125
log10_pgen_1mm,1k,esm2_8m_mlp,3,1000,0.868491587256144,0.004576857325871695,0.58026305692655,0.0007461477118348201,0.7099827288514787,0.0030588624151971274,0.8441231641331356,0.0010930223257392714,0.8603996743895107,0.002154103414763927,0.0779539705782595,0.02680743711530656,3.85,534908.622279141,1197.8294270833333,23.45751953125
