target,train_subset,arm,seeds,train_size,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,pearson_r_mean,pearson_r_std,spearman_rho_mean,spearman_rho_std,bias_mean,bias_std,training_seconds_mean,inference_seq_per_second_mean,peak_rss_mb_mean,peak_gpu_mb_mean
log10_pgen,all,irrm_pretrained,10,79730,0.31017690475410065,0.03876912606322715,0.1925337933537014,0.0421692419704994,0.9722094243698776,0.0071918253654449016,0.9911934932097092,0.002627633642411745,0.988261224579343,0.005649934632632095,0.11768424049840458,0.04843363342634476,158.781,77118.10143799629,1593.01328125,254.86376953125
log10_pgen,all,irrm_scratch,10,79730,0.3114129649713904,0.03330243911503736,0.2026686762306246,0.025686145645484902,0.972091574015385,0.006053100947354877,0.9921383974868743,0.0030753230018360387,0.9927640057242495,0.0024501388116768847,0.09871997901982245,0.046786331452667265,131.178,77301.63643012849,1579.693359375,254.86376953125
log10_pgen,all,tcr_bert_mlp,3,79730,0.37576665017247074,0.0018731171749935922,0.23334980691737092,0.001147842183293328,0.959778478734926,0.0004011899273065553,0.9800374676077827,0.0002548146313769847,0.9851189500136984,0.0004239194870380052,0.023774566055857788,0.0012340738433489955,74.11,482204.1447037112,1666.4921875,28.14501953125
log10_pgen,all,esm2_8m_mlp,3,79730,0.5727862854746651,0.0004557230451824632,0.34935756712203453,0.0004224821792519374,0.906545495984861,0.00014868716086941896,0.9534896057040494,0.00024764840122839165,0.9672519631455843,0.0004119721497089627,0.0745543660728548,0.007573095317883042,62.94333333333333,739699.4628127055,1296.2174479166667,23.45751953125
log10_pgen,all,sceptr_mlp,3,79730,0.5795004266216509,0.004624225940520761,0.3442356353191398,0.0012591644567361206,0.9043377068184898,0.0015301220456800072,0.9532377971839475,0.000666761216473622,0.9668332557858953,0.00042302343036070976,0.09755030382889791,0.009563877131517034,60.583333333333336,1029364.2784961942,1193.4205729166667,21.20751953125
log10_pgen,all,tfidf_ridge,1,79730,0.6210225099572112,,0.41454671189516185,,0.8901425494415403,,0.9434950444517985,,0.9563135820470278,,0.008684176700797186,,8.4,68718.25314155618,714.09765625,0.0
log10_pgen_1mm,1k,irrm_pretrained,10,1000,0.6262719413828294,0.01830265138298122,0.3955077027607018,0.00961961574615435,0.8490809012780591,0.00880504553440322,0.9393137563872822,0.006548271545908237,0.9439822027783091,0.00589778494371969,0.24200087457294406,0.04804549899851409,6.465000000000001,79076.58743231386,1553.939453125,255.98876953125
log10_pgen_1mm,1k,tcr_bert_mlp,3,1000,0.685144286570226,0.002153496133772639,0.43468398635694316,0.0008122116639941274,0.8195106709311563,0.0011344461621800414,0.9089732477151248,0.0005783007075420176,0.9260142078177989,0.0004060297908214042,0.07944990736101322,0.007503188590872171,4.973333333333334,474278.88027787465,1241.6861979166667,28.14501953125
log10_pgen_1mm,1k,irrm_scratch,10,1000,0.6946828977880078,0.09169235422773352,0.4396730913095346,0.07394649046737808,0.8115420155347044,0.05006709040749404,0.9209237429346361,0.009130494064272706,0.92715291142624,0.01084600102257937,0.229206009669244,0.16953090969254042,7.931,78145.45197570449,1559.0765625,255.98876953125
log10_pgen_1mm,1k,esm2_8m_mlp,3,1000,0.8615945278815476,0.0024225274486241732,0.5685573828281646,0.0008542452596914314,0.7145745186220601,0.0016045201855514647,0.8475403525356285,0.0005475393573428439,0.8674118138794791,0.0010102596207092706,0.09769012470210969,0.013496899355350991,5.140000000000001,735856.4119480439,1197.7799479166667,23.45751953125
log10_pgen_1mm,1k,sceptr_mlp,3,1000,0.873569962655704,0.001278608640091633,0.5872807465781368,0.0017447483024049287,0.7065861603477129,0.000859261187461126,0.8419430222976985,0.0007044658486279333,0.8544503515961605,0.001305025388521403,0.07670004736733034,0.005688838971975157,4.346666666666667,1028820.2455296965,1171.2317708333333,21.20751953125
log10_pgen_1mm,1k,tfidf_ridge,1,1000,1.085296409794027,,0.73535530121258,,0.5471218978219647,,0.750774560158103,,0.795403603438914,,0.18915308819686613,,0.19,80950.28937014837,643.671875,0.0
log10_pgen_1mm,10k,irrm_scratch,10,10000,0.37544649188982115,0.05393243068687214,0.23577393103520206,0.04089320136394839,0.9447957898778669,0.01791525764663305,0.9754370036887015,0.0038427589703087235,0.9807582721749771,0.00451351584966454,0.08146111243136314,0.08586850228496051,26.005000000000003,78150.25535034612,1581.172265625,255.36376953125
log10_pgen_1mm,10k,irrm_pretrained,10,10000,0.38134067696205276,0.027442508022011,0.2542467817755318,0.02295537004741706,0.9438266494916274,0.0076933826463340274,0.9815385301853583,0.0027043074180465344,0.9785087302017675,0.004963049737352929,0.18800522715017878,0.03347324976757551,24.767,78459.65347761178,1587.60703125,255.36376953125
log10_pgen_1mm,10k,tcr_bert_mlp,3,10000,0.41190235103679723,0.0013890241512824646,0.25669393850789196,0.0017155417017192197,0.9347656373928152,0.00044039284910229917,0.9672464846909655,0.00032551430104860114,0.9758391756576296,0.00020704041320170286,0.01661317124627551,0.00894797698767368,13.696666666666667,478703.45815385296,1281.9127604166667,28.14501953125
log10_pgen_1mm,10k,esm2_8m_mlp,3,10000,0.6247899714509164,0.0020961953451629095,0.39108601612116534,0.002604252012107772,0.8499085517012229,0.0010061435225250147,0.9228086720675472,0.0009210947503702813,0.9425420893779722,0.0008079743916434745,0.05559858269994359,0.008431332591102741,12.863333333333335,735642.5400245866,1221.5703125,23.45751953125
